"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G"
2026-01-05 19:48:00,5.72,6.01,5.90
2026-01-05 19:49:00,5.92,5.98,5.93
2026-01-05 19:50:00,5.81,6.04,5.94
2026-01-05 19:51:00,5.73,5.78,5.91
2026-01-05 19:52:00,6.08,5.95,5.95
2026-01-05 19:53:00,6.00,5.96,6.03
2026-01-05 19:54:00,6.18,5.85,6.02
2026-01-05 19:55:00,5.63,5.81,5.95
2026-01-05 19:56:00,6.10,5.81,5.95
2026-01-05 19:57:00,5.94,5.69,5.80
2026-01-05 19:58:00,5.63,5.84,5.89
2026-01-05 19:59:00,5.63,5.84,5.87
2026-01-05 20:00:00,5.99,5.94,5.93
2026-01-05 20:01:00,5.57,5.73,5.96
2026-01-05 20:02:00,5.57,5.76,5.92
2026-01-05 20:03:00,6.04,5.91,5.85
2026-01-05 20:04:00,5.83,5.83,5.85
2026-01-05 20:05:00,5.82,5.93,5.53
2026-01-05 20:06:00,5.65,5.78,5.77
2026-01-05 20:07:00,5.86,5.54,5.68
2026-01-05 20:08:00,5.57,5.47,5.46
2026-01-05 20:09:00,5.54,5.66,5.61
2026-01-05 20:10:00,5.63,5.63,5.58
2026-01-05 20:11:00,5.65,5.66,5.43
2026-01-05 20:12:00,5.49,5.57,5.46
2026-01-05 20:13:00,5.49,5.51,5.45
2026-01-05 20:14:00,5.59,5.36,5.43
2026-01-05 20:15:00,5.26,5.39,5.22
2026-01-05 20:16:00,5.53,5.27,5.52
2026-01-05 20:17:00,5.55,5.34,5.39
2026-01-05 20:18:00,5.62,5.39,5.38
2026-01-05 20:19:00,5.38,5.62,5.56
2026-01-05 20:20:00,5.33,5.40,5.51
2026-01-05 20:21:00,5.60,5.32,5.41
2026-01-05 20:22:00,5.60,5.23,5.27
2026-01-05 20:23:00,5.67,5.36,5.30
2026-01-05 20:24:00,5.24,5.30,5.50
2026-01-05 20:25:00,4.97,5.53,5.48
2026-01-05 20:26:00,5.49,5.23,5.33
2026-01-05 20:27:00,5.48,5.37,5.23
2026-01-05 20:28:00,5.39,5.43,5.32
2026-01-05 20:29:00,5.27,5.22,5.25
2026-01-05 20:30:00,5.43,5.25,5.29
2026-01-05 20:31:00,5.31,5.07,5.08
2026-01-05 20:32:00,5.22,5.13,5.24
2026-01-05 20:33:00,5.00,4.87,5.13
2026-01-05 20:34:00,4.87,4.85,5.08
2026-01-05 20:35:00,5.10,5.10,4.94
2026-01-05 20:36:00,5.26,4.82,4.95
2026-01-05 20:37:00,4.80,4.96,4.83
2026-01-05 20:38:00,5.37,5.20,4.88
2026-01-05 20:39:00,5.30,5.17,4.97
2026-01-05 20:40:00,4.94,5.18,4.90
2026-01-05 20:41:00,4.89,5.14,4.95
2026-01-05 20:42:00,4.39,5.07,4.80
2026-01-05 20:43:00,4.39,4.87,4.80
2026-01-05 20:44:00,5.10,5.20,5.14
2026-01-05 20:45:00,5.09,5.20,5.14
2026-01-05 20:46:00,4.76,5.02,5.04
2026-01-05 20:47:00,4.71,4.66,4.78
2026-01-05 20:48:00,4.88,4.97,4.87
2026-01-05 20:49:00,4.71,4.61,5.22
2026-01-05 20:50:00,5.00,4.65,4.87
2026-01-05 20:51:00,5.27,5.09,4.69
2026-01-05 20:52:00,4.85,4.72,5.05
2026-01-05 20:53:00,4.85,4.93,4.95
2026-01-05 20:54:00,5.05,4.79,4.49
2026-01-05 20:55:00,4.80,5.06,4.56
2026-01-05 20:56:00,4.39,4.56,4.83
2026-01-05 20:57:00,4.89,4.69,4.66
2026-01-05 20:58:00,4.71,4.72,4.60
2026-01-05 20:59:00,4.72,4.74,4.93
2026-01-05 21:00:00,4.80,4.40,5.01
2026-01-05 21:01:00,5.25,4.98,4.72
2026-01-05 21:02:00,4.41,4.61,4.77
2026-01-05 21:03:00,4.66,4.63,4.94
2026-01-05 21:04:00,4.31,4.63,4.62
2026-01-05 21:05:00,4.61,4.44,4.47
2026-01-05 21:06:00,4.09,4.46,4.45
2026-01-05 21:07:00,4.90,4.47,4.71
2026-01-05 21:08:00,4.90,4.65,4.77
2026-01-05 21:09:00,4.63,4.63,4.46
2026-01-05 21:10:00,4.73,4.55,4.51
2026-01-05 21:11:00,4.24,4.34,4.39
2026-01-05 21:12:00,4.45,4.52,4.32
2026-01-05 21:13:00,4.51,4.52,4.26
2026-01-05 21:14:00,4.43,4.33,4.59
2026-01-05 21:15:00,4.54,4.48,4.53
2026-01-05 21:16:00,4.76,4.44,4.84
2026-01-05 21:17:00,4.39,4.27,4.37
2026-01-05 21:18:00,4.47,4.35,4.31
2026-01-05 21:19:00,4.11,4.38,4.18
2026-01-05 21:20:00,4.43,4.31,4.14
2026-01-05 21:21:00,4.43,4.31,4.14
2026-01-05 21:22:00,4.34,4.68,4.54
2026-01-05 21:23:00,4.30,4.39,4.32
2026-01-05 21:24:00,4.07,4.19,4.34
2026-01-05 21:25:00,3.74,4.05,4.40
2026-01-05 21:26:00,4.29,4.05,4.40
2026-01-05 21:27:00,4.29,4.11,4.27
2026-01-05 21:28:00,3.93,4.59,4.56
2026-01-05 21:29:00,4.22,4.59,4.56
2026-01-05 21:30:00,4.22,4.15,4.28
2026-01-05 21:31:00,4.61,4.36,4.13
2026-01-05 21:32:00,4.34,4.36,4.37
2026-01-05 21:33:00,3.84,4.39,4.30
2026-01-05 21:34:00,4.18,4.52,4.43
2026-01-05 21:35:00,4.20,4.35,4.33
2026-01-05 21:36:00,4.27,4.20,4.12
2026-01-05 21:37:00,4.06,4.35,4.11
2026-01-05 21:38:00,4.38,4.34,4.29
2026-01-05 21:39:00,4.34,4.02,4.54
2026-01-05 21:40:00,3.97,4.28,4.20
2026-01-05 21:41:00,4.37,3.99,4.34
2026-01-05 21:42:00,4.22,4.20,4.39
2026-01-05 21:43:00,4.33,4.17,4.23
2026-01-05 21:44:00,4.05,4.50,4.31
2026-01-05 21:45:00,4.21,4.50,4.31
2026-01-05 21:46:00,3.95,3.99,3.88
2026-01-05 21:47:00,4.04,3.87,4.17
2026-01-05 21:48:00,4.05,4.68,4.13
2026-01-05 21:49:00,4.05,4.68,4.13
2026-01-05 21:50:00,4.32,4.01,4.27
2026-01-05 21:51:00,4.47,4.21,4.41
2026-01-05 21:52:00,3.95,3.96,4.06
2026-01-05 21:53:00,4.09,4.26,3.93
2026-01-05 21:54:00,3.86,3.86,3.94
2026-01-05 21:55:00,3.91,3.67,3.86
2026-01-05 21:56:00,3.94,4.26,4.12
2026-01-05 21:57:00,3.89,4.17,4.39
2026-01-05 21:58:00,4.21,3.88,3.71
2026-01-05 21:59:00,3.88,3.93,4.46
2026-01-05 22:00:00,4.35,3.98,3.97
2026-01-05 22:01:00,4.35,3.98,3.97
2026-01-05 22:02:00,4.35,3.98,3.97
2026-01-05 22:03:00,4.35,4.18,4.08
2026-01-05 22:04:00,4.35,4.18,4.08
