"Time","Weighted Average","Average"
2026-01-05 19:48:00,5.93,5.88
2026-01-05 19:49:00,6.15,5.95
2026-01-05 19:50:00,5.97,5.93
2026-01-05 19:51:00,5.66,5.81
2026-01-05 19:52:00,5.97,5.99
2026-01-05 19:53:00,6.17,6.00
2026-01-05 19:54:00,5.77,6.02
2026-01-05 19:55:00,5.70,5.80
2026-01-05 19:56:00,5.92,5.95
2026-01-05 19:57:00,5.79,5.81
2026-01-05 19:58:00,5.85,5.79
2026-01-05 19:59:00,5.24,5.78
2026-01-05 20:00:00,6.13,5.95
2026-01-05 20:01:00,5.84,5.75
2026-01-05 20:02:00,5.84,5.75
2026-01-05 20:03:00,6.27,5.93
2026-01-05 20:04:00,5.84,5.84
2026-01-05 20:05:00,5.75,5.76
2026-01-05 20:06:00,5.57,5.73
2026-01-05 20:07:00,5.67,5.69
2026-01-05 20:08:00,5.50,5.50
2026-01-05 20:09:00,5.61,5.60
2026-01-05 20:10:00,5.44,5.61
2026-01-05 20:11:00,5.75,5.58
2026-01-05 20:12:00,5.68,5.51
2026-01-05 20:13:00,5.48,5.48
2026-01-05 20:14:00,5.47,5.46
2026-01-05 20:15:00,5.13,5.29
2026-01-05 20:16:00,5.43,5.44
2026-01-05 20:17:00,5.39,5.43
2026-01-05 20:18:00,5.42,5.46
2026-01-05 20:19:00,5.20,5.52
2026-01-05 20:20:00,5.44,5.41
2026-01-05 20:21:00,5.38,5.44
2026-01-05 20:22:00,5.11,5.37
2026-01-05 20:23:00,5.17,5.44
2026-01-05 20:24:00,5.36,5.35
2026-01-05 20:25:00,5.46,5.33
2026-01-05 20:26:00,5.13,5.35
2026-01-05 20:27:00,5.33,5.36
2026-01-05 20:28:00,5.82,5.38
2026-01-05 20:29:00,5.24,5.25
2026-01-05 20:30:00,5.32,5.32
2026-01-05 20:31:00,5.13,5.16
2026-01-05 20:32:00,5.19,5.19
2026-01-05 20:33:00,5.01,5.00
2026-01-05 20:34:00,4.94,4.93
2026-01-05 20:35:00,4.88,5.04
2026-01-05 20:36:00,4.92,5.01
2026-01-05 20:37:00,4.88,4.87
2026-01-05 20:38:00,5.11,5.15
2026-01-05 20:39:00,5.14,5.15
2026-01-05 20:40:00,4.99,5.01
2026-01-05 20:41:00,5.27,4.99
2026-01-05 20:42:00,4.89,4.75
2026-01-05 20:43:00,4.65,4.69
2026-01-05 20:44:00,5.00,5.15
2026-01-05 20:45:00,5.16,5.14
2026-01-05 20:46:00,5.15,4.94
2026-01-05 20:47:00,4.72,4.72
2026-01-05 20:48:00,5.20,4.91
2026-01-05 20:49:00,4.59,4.84
2026-01-05 20:50:00,4.82,4.84
2026-01-05 20:51:00,4.99,5.01
2026-01-05 20:52:00,4.71,4.87
2026-01-05 20:53:00,4.92,4.91
2026-01-05 20:54:00,4.76,4.78
2026-01-05 20:55:00,4.81,4.81
2026-01-05 20:56:00,4.65,4.59
2026-01-05 20:57:00,4.74,4.75
2026-01-05 20:58:00,4.68,4.68
2026-01-05 20:59:00,4.66,4.80
2026-01-05 21:00:00,4.73,4.74
2026-01-05 21:01:00,4.95,4.98
2026-01-05 21:02:00,4.74,4.60
2026-01-05 21:03:00,5.03,4.74
2026-01-05 21:04:00,4.45,4.52
2026-01-05 21:05:00,4.75,4.51
2026-01-05 21:06:00,4.13,4.33
2026-01-05 21:07:00,4.63,4.70
2026-01-05 21:08:00,4.58,4.77
2026-01-05 21:09:00,4.57,4.57
2026-01-05 21:10:00,4.41,4.60
2026-01-05 21:11:00,4.33,4.32
2026-01-05 21:12:00,4.42,4.43
2026-01-05 21:13:00,4.43,4.43
2026-01-05 21:14:00,4.45,4.45
2026-01-05 21:15:00,4.65,4.52
2026-01-05 21:16:00,4.67,4.68
2026-01-05 21:17:00,4.34,4.34
2026-01-05 21:18:00,4.37,4.37
2026-01-05 21:19:00,4.23,4.22
2026-01-05 21:20:00,4.27,4.30
2026-01-05 21:21:00,4.27,4.30
2026-01-05 21:22:00,4.54,4.52
2026-01-05 21:23:00,4.34,4.34
2026-01-05 21:24:00,4.25,4.20
2026-01-05 21:25:00,3.92,4.06
2026-01-05 21:26:00,4.38,4.25
2026-01-05 21:27:00,4.09,4.22
2026-01-05 21:28:00,4.60,4.36
2026-01-05 21:29:00,4.55,4.46
2026-01-05 21:30:00,3.94,4.22
2026-01-05 21:31:00,4.32,4.37
2026-01-05 21:32:00,4.22,4.36
2026-01-05 21:33:00,4.26,4.18
2026-01-05 21:34:00,4.38,4.38
2026-01-05 21:35:00,4.29,4.30
2026-01-05 21:36:00,4.20,4.20
2026-01-05 21:37:00,4.29,4.17
2026-01-05 21:38:00,4.33,4.33
2026-01-05 21:39:00,4.42,4.30
2026-01-05 21:40:00,4.15,4.15
2026-01-05 21:41:00,4.23,4.23
2026-01-05 21:42:00,4.15,4.27
2026-01-05 21:43:00,4.24,4.24
2026-01-05 21:44:00,4.51,4.29
2026-01-05 21:45:00,4.35,4.34
2026-01-05 21:46:00,4.05,3.94
2026-01-05 21:47:00,4.04,4.03
2026-01-05 21:48:00,4.32,4.28
2026-01-05 21:49:00,4.32,4.28
2026-01-05 21:50:00,4.18,4.20
2026-01-05 21:51:00,4.33,4.36
2026-01-05 21:52:00,3.99,3.99
2026-01-05 21:53:00,3.96,4.09
2026-01-05 21:54:00,3.89,3.89
2026-01-05 21:55:00,3.81,3.81
2026-01-05 21:56:00,4.13,4.10
2026-01-05 21:57:00,4.15,4.15
2026-01-05 21:58:00,3.80,3.93
2026-01-05 21:59:00,4.12,4.09
2026-01-05 22:00:00,4.06,4.10
2026-01-05 22:01:00,4.06,4.10
2026-01-05 22:02:00,3.95,4.10
2026-01-05 22:03:00,4.40,4.21
2026-01-05 22:04:00,4.40,4.21
2026-01-05 22:05:00,4.40,4.21
2026-01-05 22:06:00,4.40,4.21
2026-01-05 22:07:00,4.66,4.23
2026-01-05 22:08:00,4.66,4.23
2026-01-05 22:09:00,4.66,4.23
2026-01-05 22:10:00,4.66,4.23
2026-01-05 22:11:00,4.21,4.06
2026-01-05 22:12:00,4.21,4.06
2026-01-05 22:13:00,4.21,4.06
2026-01-05 22:14:00,4.21,4.06
2026-01-05 22:15:00,4.21,4.06
2026-01-05 22:16:00,4.52,4.30
2026-01-05 22:17:00,4.52,4.30
2026-01-05 22:18:00,4.52,4.30
2026-01-05 22:19:00,4.52,4.30
2026-01-05 22:20:00,4.52,4.30
2026-01-05 22:21:00,4.29,4.12
2026-01-05 22:22:00,4.29,4.12
2026-01-05 22:23:00,4.29,4.12
2026-01-05 22:24:00,4.18,4.04
2026-01-05 22:25:00,4.18,4.04
2026-01-05 22:26:00,4.18,4.04
2026-01-05 22:27:00,4.18,4.04
2026-01-05 22:28:00,4.20,4.05
2026-01-05 22:29:00,4.20,4.05
2026-01-05 22:30:00,4.20,4.05
2026-01-05 22:31:00,4.20,4.05
2026-01-05 22:32:00,4.33,4.16
2026-01-05 22:33:00,4.33,4.16
2026-01-05 22:34:00,4.33,4.16
2026-01-05 22:35:00,4.33,4.16
2026-01-05 22:36:00,4.33,4.16
2026-01-05 22:37:00,4.24,4.08
2026-01-05 22:38:00,4.24,4.08
2026-01-05 22:39:00,4.24,4.08
2026-01-05 22:40:00,4.24,4.08
2026-01-05 22:41:00,4.22,4.06
2026-01-05 22:42:00,4.22,4.06
2026-01-05 22:43:00,4.22,4.06
2026-01-05 22:44:00,4.22,4.06
2026-01-05 22:45:00,4.22,4.06
2026-01-05 22:46:00,4.29,4.12
2026-01-05 22:47:00,4.29,4.12
2026-01-05 22:48:00,4.29,4.12
2026-01-05 22:49:00,4.28,4.11
2026-01-05 22:50:00,4.28,4.11
2026-01-05 22:51:00,4.28,4.11
2026-01-05 22:52:00,4.28,4.11
2026-01-05 22:53:00,4.23,4.07
2026-01-05 22:54:00,4.23,4.07
2026-01-05 22:55:00,4.23,4.07
2026-01-05 22:56:00,4.23,4.07
2026-01-05 22:57:00,4.30,4.13
2026-01-05 22:58:00,4.30,4.13
2026-01-05 22:59:00,4.30,4.13
2026-01-05 23:00:00,4.30,4.13
2026-01-05 23:01:00,4.30,4.13
2026-01-05 23:02:00,4.36,3.99
2026-01-05 23:03:00,4.63,4.20
2026-01-05 23:04:00,4.26,3.93
2026-01-05 23:05:00,4.45,4.07
2026-01-05 23:06:00,4.64,4.17
2026-01-05 23:07:00,4.25,3.90
2026-01-05 23:08:00,4.37,4.00
2026-01-05 23:09:00,4.15,3.84
2026-01-05 23:10:00,4.47,4.08
2026-01-05 23:11:00,4.31,3.96
2026-01-05 23:12:00,4.38,4.01
2026-01-05 23:13:00,4.18,3.95
2026-01-05 23:14:00,4.14,3.83
2026-01-05 23:15:00,4.32,3.90
2026-01-05 23:16:00,4.67,4.19
2026-01-05 23:17:00,4.27,3.92
2026-01-05 23:18:00,4.43,4.05
2026-01-05 23:19:00,4.65,4.20
2026-01-05 23:20:00,4.33,3.90
2026-01-05 23:21:00,4.48,4.00
2026-01-05 23:22:00,4.10,3.77
2026-01-05 23:23:00,4.40,4.00
2026-01-05 23:24:00,4.28,3.88
2026-01-05 23:25:00,4.33,3.96
2026-01-05 23:26:00,4.42,4.06
