"Time","gateway1"
2026-01-05 19:48:00,4.74 kb/s
2026-01-05 19:49:00,1.53 kb/s
2026-01-05 19:50:00,914 b/s
2026-01-05 19:51:00,3.83 kb/s
2026-01-05 19:52:00,4.58 kb/s
2026-01-05 19:53:00,4.67 kb/s
2026-01-05 19:54:00,1.70 kb/s
2026-01-05 19:55:00,865 b/s
2026-01-05 19:56:00,4.26 kb/s
2026-01-05 19:57:00,4.53 kb/s
2026-01-05 19:58:00,4.62 kb/s
2026-01-05 19:59:00,1.26 kb/s
2026-01-05 20:00:00,805 b/s
2026-01-05 20:01:00,3.79 kb/s
2026-01-05 20:02:00,4.50 kb/s
2026-01-05 20:03:00,4.97 kb/s
2026-01-05 20:04:00,2.00 kb/s
2026-01-05 20:05:00,1.18 kb/s
2026-01-05 20:06:00,4.44 kb/s
2026-01-05 20:07:00,4.70 kb/s
2026-01-05 20:08:00,4.83 kb/s
2026-01-05 20:09:00,1.35 kb/s
2026-01-05 20:10:00,976 b/s
2026-01-05 20:11:00,4.77 kb/s
2026-01-05 20:12:00,5.29 kb/s
2026-01-05 20:13:00,5.58 kb/s
2026-01-05 20:14:00,1.94 kb/s
2026-01-05 20:15:00,1.22 kb/s
2026-01-05 20:16:00,4.47 kb/s
2026-01-05 20:17:00,4.51 kb/s
2026-01-05 20:18:00,4.59 kb/s
2026-01-05 20:19:00,1.14 kb/s
2026-01-05 20:20:00,818 b/s
2026-01-05 20:21:00,3.90 kb/s
2026-01-05 20:22:00,4.61 kb/s
2026-01-05 20:23:00,4.69 kb/s
2026-01-05 20:24:00,1.76 kb/s
2026-01-05 20:25:00,942 b/s
2026-01-05 20:26:00,4.44 kb/s
2026-01-05 20:27:00,4.53 kb/s
2026-01-05 20:28:00,4.61 kb/s
2026-01-05 20:29:00,1.28 kb/s
2026-01-05 20:30:00,953 b/s
2026-01-05 20:31:00,4.69 kb/s
2026-01-05 20:32:00,5.11 kb/s
2026-01-05 20:33:00,5.47 kb/s
