"Time","db462338-c776-4d76-a31e-91c195592a51"
2026-01-05 19:48:00,6.51 s
2026-01-05 19:49:00,29.4 s
2026-01-05 19:50:00,11.4 s
2026-01-05 19:51:00,15.3 s
2026-01-05 19:52:00,26.6 s
2026-01-05 19:53:00,27.9 s
2026-01-05 19:54:00,25.0 s
2026-01-05 19:55:00,19.8 s
2026-01-05 19:56:00,10.2 s
2026-01-05 19:57:00,21.8 s
2026-01-05 19:58:00,9.91 s
2026-01-05 19:59:00,19.2 s
2026-01-05 20:00:00,55.0 s
2026-01-05 20:01:00,11.2 s
2026-01-05 20:02:00,51.7 s
2026-01-05 20:03:00,17.2 s
2026-01-05 20:04:00,8.68 s
2026-01-05 20:05:00,5.61 s
2026-01-05 20:06:00,6.30 s
2026-01-05 20:07:00,5.72 s
2026-01-05 20:08:00,6.38 s
2026-01-05 20:09:00,5.61 s
2026-01-05 20:10:00,6.36 s
2026-01-05 20:11:00,6.54 s
2026-01-05 20:12:00,6.55 s
2026-01-05 20:13:00,5.60 s
2026-01-05 20:14:00,5.59 s
2026-01-05 20:15:00,17.0 s
2026-01-05 20:16:00,21.0 s
2026-01-05 20:17:00,26.9 s
2026-01-05 20:18:00,13.7 s
2026-01-05 20:19:00,37.6 s
2026-01-05 20:20:00,5.55 s
2026-01-05 20:21:00,7.03 s
2026-01-05 20:22:00,7.45 s
2026-01-05 20:23:00,9.64 s
2026-01-05 20:24:00,5.96 s
2026-01-05 20:25:00,35.3 s
2026-01-05 20:26:00,16.2 s
2026-01-05 20:27:00,41.5 s
2026-01-05 20:28:00,16.0 s
2026-01-05 20:29:00,6.57 s
2026-01-05 20:30:00,5.54 s
2026-01-05 20:31:00,7.42 s
2026-01-05 20:32:00,5.56 s
2026-01-05 20:33:00,6.21 s
2026-01-05 20:34:00,5.75 s
2026-01-05 20:35:00,6.55 s
2026-01-05 20:36:00,8.14 s
2026-01-05 20:37:00,6.46 s
2026-01-05 20:38:00,6.28 s
2026-01-05 20:39:00,6.41 s
2026-01-05 20:40:00,6.53 s
2026-01-05 20:41:00,42.8 s
2026-01-05 20:42:00,12.3 s
2026-01-05 20:43:00,11.1 s
2026-01-05 20:44:00,8.82 s
2026-01-05 20:45:00,45.7 s
2026-01-05 20:46:00,12.2 s
2026-01-05 20:47:00,36.3 s
2026-01-05 20:48:00,22.5 s
2026-01-05 20:49:00,23.6 s
2026-01-05 20:50:00,5.75 s
2026-01-05 20:51:00,5.93 s
2026-01-05 20:52:00,7.48 s
2026-01-05 20:53:00,5.89 s
2026-01-05 20:54:00,8.84 s
2026-01-05 20:55:00,6.11 s
2026-01-05 20:56:00,6.24 s
2026-01-05 20:57:00,5.51 s
2026-01-05 20:58:00,5.47 s
2026-01-05 20:59:00,5.48 s
2026-01-05 21:00:00,5.74 s
2026-01-05 21:01:00,6.63 s
2026-01-05 21:02:00,6.30 s
2026-01-05 21:03:00,21.0 s
2026-01-05 21:04:00,46.9 s
2026-01-05 21:05:00,9.19 s
2026-01-05 21:06:00,43.6 s
2026-01-05 21:07:00,20.4 s
2026-01-05 21:08:00,20.5 s
2026-01-05 21:09:00,5.65 s
2026-01-05 21:10:00,6.19 s
2026-01-05 21:11:00,5.96 s
2026-01-05 21:12:00,6.39 s
2026-01-05 21:13:00,6.00 s
2026-01-05 21:14:00,5.78 s
2026-01-05 21:15:00,5.51 s
2026-01-05 21:16:00,6.27 s
2026-01-05 21:17:00,12.1 s
2026-01-05 21:18:00,7.70 s
2026-01-05 21:19:00,5.47 s
2026-01-05 21:20:00,25.8 s
2026-01-05 21:21:00,25.8 s
2026-01-05 21:22:00,43.4 s
2026-01-05 21:23:00,19.5 s
