"Time","debug","error","info","warn"
2026-01-05 19:48:00,7.78 K,,967,
2026-01-05 19:49:00,7.18 K,,457,
2026-01-05 19:50:00,6.94 K,,665,
2026-01-05 19:51:00,6.79 K,,314,
2026-01-05 19:52:00,5.72 K,,372,
2026-01-05 19:53:00,5.02 K,,271,
2026-01-05 19:54:00,6.85 K,,536,
2026-01-05 19:55:00,8.10 K,,952,
2026-01-05 19:56:00,8.71 K,,843,
2026-01-05 19:57:00,7.10 K,,772,
2026-01-05 19:58:00,5.09 K,,304,
2026-01-05 19:59:00,5.50 K,,291,
2026-01-05 20:00:00,7.13 K,,581,
2026-01-05 20:01:00,8.65 K,,930,
2026-01-05 20:02:00,7.51 K,,943,
2026-01-05 20:03:00,7.88 K,,501,
2026-01-05 20:04:00,8.84 K,,628,
2026-01-05 20:05:00,8.98 K,,592,
2026-01-05 20:06:00,10.3 K,,646,
2026-01-05 20:07:00,8.67 K,,590,
2026-01-05 20:08:00,9.52 K,,634,
2026-01-05 20:09:00,9.11 K,,516,
2026-01-05 20:10:00,8.81 K,,531,
2026-01-05 20:11:00,10.1 K,,523,
2026-01-05 20:12:00,8.68 K,,522,
2026-01-05 20:13:00,8.93 K,,587,
2026-01-05 20:14:00,6.31 K,,310,
2026-01-05 20:15:00,5.82 K,,279,
2026-01-05 20:16:00,6.71 K,,282,
2026-01-05 20:17:00,5.74 K,,287,
2026-01-05 20:18:00,5.12 K,,250,
2026-01-05 20:19:00,5.97 K,,315,
2026-01-05 20:20:00,5.72 K,,322,
2026-01-05 20:21:00,6.27 K,,203,
2026-01-05 20:22:00,6.30 K,,439,
2026-01-05 20:23:00,5.60 K,,293,
2026-01-05 20:24:00,7.15 K,,866,
2026-01-05 20:25:00,7.09 K,,580,
2026-01-05 20:26:00,6.58 K,,273,
2026-01-05 20:27:00,5.31 K,,302,
2026-01-05 20:28:00,8.56 K,,500,
2026-01-05 20:29:00,9.13 K,,559,
2026-01-05 20:30:00,8.93 K,,535,
2026-01-05 20:31:00,10.5 K,,543,
2026-01-05 20:32:00,8.90 K,,505,
2026-01-05 20:33:00,9.12 K,,548,
2026-01-05 20:34:00,8.73 K,,515,
2026-01-05 20:35:00,8.78 K,,483,
2026-01-05 20:36:00,10.3 K,,486,
2026-01-05 20:37:00,8.91 K,,477,
2026-01-05 20:38:00,9.01 K,,527,
2026-01-05 20:39:00,7.27 K,,410,
2026-01-05 20:40:00,5.45 K,,256,
2026-01-05 20:41:00,7.56 K,,331,
2026-01-05 20:42:00,5.10 K,,228,
2026-01-05 20:43:00,5.61 K,,281,
2026-01-05 20:44:00,4.81 K,,213,
2026-01-05 20:45:00,6.69 K,,407,
2026-01-05 20:46:00,6.78 K,,291,
2026-01-05 20:47:00,6.07 K,,434,
2026-01-05 20:48:00,5.25 K,,257,
2026-01-05 20:49:00,6.74 K,,334,
2026-01-05 20:50:00,8.91 K,,506,
2026-01-05 20:51:00,10.1 K,,547,
2026-01-05 20:52:00,8.80 K,,507,
2026-01-05 20:53:00,8.90 K,,601,
2026-01-05 20:54:00,9.39 K,,513,
2026-01-05 20:55:00,8.86 K,,521,
2026-01-05 20:56:00,10.1 K,,505,
2026-01-05 20:57:00,8.69 K,,465,
2026-01-05 20:58:00,9.24 K,,596,
2026-01-05 20:59:00,9.08 K,,480,
2026-01-05 21:00:00,8.91 K,,509,
2026-01-05 21:01:00,10.2 K,,526,
