"Time","debug","error","info","trace","warn"
2025-12-25 00:00:00,55.8 K,,2.31 K,493 K,
2025-12-25 00:10:00,57.2 K,,2.35 K,466 K,
2025-12-25 00:20:00,59.2 K,,2.43 K,461 K,
2025-12-25 00:30:00,57.6 K,,2.36 K,479 K,
2025-12-25 00:40:00,58.3 K,,2.39 K,468 K,
2025-12-25 00:50:00,56.4 K,,2.33 K,474 K,
2025-12-25 01:00:00,58.9 K,,2.41 K,470 K,
2025-12-25 01:10:00,58.2 K,,2.37 K,463 K,
2025-12-25 01:20:00,58.3 K,,2.39 K,473 K,
2025-12-25 01:30:00,56.8 K,,2.34 K,481 K,
2025-12-25 01:40:00,58.6 K,,2.40 K,466 K,
2025-12-25 01:50:00,57.7 K,1,2.32 K,449 K,2
2025-12-25 02:00:00,59.4 K,,2.43 K,464 K,
2025-12-25 02:10:00,57.9 K,,2.38 K,471 K,
2025-12-25 02:20:00,57.0 K,,2.33 K,470 K,
2025-12-25 02:30:00,59.1 K,,2.42 K,468 K,
2025-12-25 02:40:00,58.1 K,,2.38 K,466 K,
2025-12-25 02:50:00,58.9 K,,2.40 K,460 K,
2025-12-25 03:00:00,56.4 K,,2.30 K,468 K,
2025-12-25 03:10:00,58.6 K,,2.39 K,469 K,
2025-12-25 03:20:00,58.7 K,,2.39 K,460 K,
2025-12-25 03:30:00,58.0 K,,2.36 K,454 K,
2025-12-25 03:40:00,57.7 K,,2.36 K,467 K,
2025-12-25 03:50:00,58.1 K,,2.39 K,464 K,
2025-12-25 04:00:00,57.7 K,,2.36 K,460 K,
2025-12-25 04:10:00,58.6 K,,2.38 K,450 K,
2025-12-25 04:20:00,58.2 K,,2.39 K,464 K,
2025-12-25 04:30:00,56.9 K,,2.34 K,470 K,
2025-12-25 04:40:00,59.4 K,1,2.41 K,459 K,2
2025-12-25 04:50:00,57.9 K,,2.36 K,456 K,
2025-12-25 05:00:00,59.3 K,,2.42 K,458 K,
2025-12-25 05:10:00,57.0 K,,2.33 K,455 K,
2025-12-25 05:20:00,58.8 K,,2.41 K,460 K,
2025-12-25 05:30:00,58.4 K,,2.38 K,462 K,
2025-12-25 05:40:00,58.0 K,,2.38 K,470 K,
2025-12-25 05:50:00,56.9 K,,2.32 K,467 K,
2025-12-25 06:00:00,58.4 K,,2.37 K,462 K,
2025-12-25 06:10:00,57.6 K,,2.38 K,479 K,
2025-12-25 06:20:00,57.6 K,1,2.37 K,473 K,2
2025-12-25 06:30:00,57.6 K,,2.38 K,491 K,
2025-12-25 06:40:00,55.5 K,,2.29 K,482 K,
2025-12-25 06:50:00,58.6 K,,2.41 K,475 K,
2025-12-25 07:00:00,57.1 K,,2.34 K,466 K,
2025-12-25 07:10:00,57.7 K,,2.38 K,479 K,
2025-12-25 07:20:00,55.2 K,,2.30 K,498 K,
2025-12-25 07:30:00,56.6 K,,2.34 K,496 K,
2025-12-25 07:40:00,57.0 K,,2.35 K,495 K,
2025-12-25 07:50:00,56.8 K,,2.35 K,499 K,
2025-12-25 08:00:00,57.5 K,,2.35 K,479 K,
2025-12-25 08:10:00,55.8 K,,2.30 K,488 K,
2025-12-25 08:20:00,58.2 K,,2.39 K,484 K,
2025-12-25 08:30:00,56.6 K,,2.33 K,494 K,
2025-12-25 08:40:00,56.6 K,,2.35 K,502 K,
2025-12-25 08:50:00,55.9 K,,2.30 K,484 K,
2025-12-25 09:00:00,55.9 K,,2.33 K,507 K,
2025-12-25 09:10:00,56.8 K,,2.33 K,502 K,
2025-12-25 09:20:00,57.3 K,,2.36 K,481 K,
2025-12-25 09:30:00,57.3 K,,2.38 K,495 K,
