"Time","Average  (55761afd-94bc-4b90-a513-5c2dc9c530cc)"
2025-12-24 00:10:00,18.8
2025-12-24 00:20:00,10.5
2025-12-24 00:30:00,9.02
2025-12-24 00:40:00,8.37
2025-12-24 00:50:00,7.95
2025-12-24 01:00:00,7.73
2025-12-24 01:10:00,7.57
2025-12-24 01:20:00,7.43
2025-12-24 01:30:00,7.33
2025-12-24 01:40:00,7.24
2025-12-24 01:50:00,7.15
2025-12-24 02:00:00,7.08
2025-12-24 02:10:00,7.02
2025-12-24 02:20:00,6.86
2025-12-24 02:30:00,6.78
2025-12-24 02:40:00,6.74
2025-12-24 02:50:00,6.71
2025-12-24 03:00:00,6.66
2025-12-24 03:10:00,6.64
2025-12-24 03:20:00,6.61
2025-12-24 03:30:00,6.58
2025-12-24 03:40:00,6.55
2025-12-24 03:50:00,6.47
2025-12-24 04:00:00,6.39
2025-12-24 04:10:00,6.34
2025-12-24 04:20:00,6.32
2025-12-24 04:30:00,6.29
2025-12-24 04:40:00,6.27
2025-12-24 04:50:00,6.26
2025-12-24 05:00:00,6.21
2025-12-24 05:10:00,6.16
2025-12-24 05:20:00,6.10
2025-12-24 05:30:00,6.07
2025-12-24 05:40:00,6.05
2025-12-24 05:50:00,6.03
2025-12-24 06:00:00,5.98
2025-12-24 06:10:00,5.93
2025-12-24 06:20:00,5.89
2025-12-24 06:30:00,5.87
2025-12-24 06:40:00,5.86
2025-12-24 06:50:00,5.83
2025-12-24 07:00:00,5.79
2025-12-24 07:10:00,5.75
2025-12-24 07:20:00,5.71
2025-12-24 07:30:00,5.70
2025-12-24 07:40:00,5.67
2025-12-24 07:50:00,5.64
2025-12-24 08:00:00,5.60
2025-12-24 08:10:00,5.57
2025-12-24 08:20:00,5.55
2025-12-24 08:30:00,5.52
2025-12-24 08:40:00,5.49
2025-12-24 08:50:00,5.46
2025-12-24 09:00:00,5.43
2025-12-24 09:10:00,5.42
2025-12-24 09:20:00,5.39
2025-12-24 09:30:00,5.37
2025-12-24 09:40:00,5.34
2025-12-24 09:50:00,5.32
2025-12-24 10:00:00,5.30
2025-12-24 10:10:00,5.28
2025-12-24 10:20:00,5.25
2025-12-24 10:30:00,5.22
2025-12-24 10:40:00,5.19
2025-12-24 10:50:00,5.16
2025-12-24 11:00:00,5.14
2025-12-24 11:10:00,5.11
2025-12-24 11:20:00,5.10
2025-12-24 11:30:00,5.10
2025-12-24 11:40:00,5.10
2025-12-24 11:50:00,5.10
2025-12-24 12:00:00,5.10
2025-12-24 12:10:00,5.10
2025-12-24 12:20:00,5.10
2025-12-24 12:30:00,5.10
2025-12-24 12:40:00,5.10
2025-12-24 12:50:00,5.10
2025-12-24 13:00:00,5.10
2025-12-24 13:10:00,5.10
2025-12-24 13:20:00,5.10
2025-12-24 13:30:00,5.10
2025-12-24 13:40:00,5.10
2025-12-24 13:50:00,5.10
2025-12-24 14:00:00,5.10
2025-12-24 14:10:00,5.10
2025-12-24 14:20:00,5.10
2025-12-24 14:30:00,5.10
2025-12-24 14:40:00,5.10
2025-12-24 14:50:00,5.10
2025-12-24 15:00:00,5.10
2025-12-24 15:10:00,5.10
2025-12-24 15:20:00,5.10
2025-12-24 15:30:00,5.10
2025-12-24 15:40:00,5.10
2025-12-24 15:50:00,5.10
2025-12-24 16:00:00,5.10
2025-12-24 16:10:00,5.10
2025-12-24 16:20:00,5.10
2025-12-24 16:30:00,5.10
2025-12-24 16:40:00,5.10
2025-12-24 16:50:00,5.10
2025-12-24 17:00:00,5.10
2025-12-24 17:10:00,5.10
2025-12-24 17:20:00,5.10
2025-12-24 17:30:00,5.10
2025-12-24 17:40:00,5.10
2025-12-24 17:50:00,5.10
2025-12-24 18:00:00,5.10
2025-12-24 18:10:00,5.10
2025-12-24 18:20:00,5.10
2025-12-24 18:30:00,5.10
2025-12-24 18:40:00,5.10
2025-12-24 18:50:00,5.10
2025-12-24 19:00:00,5.10
2025-12-24 19:10:00,5.10
2025-12-24 19:20:00,5.10
2025-12-24 19:30:00,5.10
2025-12-24 19:40:00,5.10
2025-12-24 19:50:00,5.10
2025-12-24 20:00:00,5.10
2025-12-24 20:10:00,5.10
2025-12-24 20:20:00,5.10
2025-12-24 20:30:00,5.10
2025-12-24 20:40:00,5.10
2025-12-24 20:50:00,5.10
2025-12-24 21:00:00,5.10
2025-12-24 21:10:00,5.10
2025-12-24 21:20:00,5.10
2025-12-24 21:30:00,5.10
2025-12-24 21:40:00,5.10
2025-12-24 21:50:00,5.10
2025-12-24 22:00:00,5.10
2025-12-24 22:10:00,5.10
2025-12-24 22:20:00,5.10
2025-12-24 22:30:00,5.10
2025-12-24 22:40:00,5.10
2025-12-24 22:50:00,5.10
2025-12-24 23:00:00,5.10
2025-12-24 23:10:00,5.10
2025-12-24 23:20:00,5.10
2025-12-24 23:30:00,5.10
2025-12-24 23:40:00,5.10
2025-12-24 23:50:00,5.10
2025-12-25 00:00:00,5.10
