"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""resnet_50_145ac6a""}[11m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""resnet_50_145ac6a""}[11m0s])
)  * 8 "
2025-12-24 00:00:00,218 Mb/s
2025-12-24 00:10:00,407 Mb/s
2025-12-24 00:20:00,382 Mb/s
2025-12-24 00:30:00,379 Mb/s
2025-12-24 00:40:00,403 Mb/s
2025-12-24 00:50:00,461 Mb/s
2025-12-24 01:00:00,374 Mb/s
2025-12-24 01:10:00,397 Mb/s
2025-12-24 01:20:00,391 Mb/s
2025-12-24 01:30:00,359 Mb/s
2025-12-24 01:40:00,420 Mb/s
2025-12-24 01:50:00,428 Mb/s
2025-12-24 02:00:00,402 Mb/s
2025-12-24 02:10:00,405 Mb/s
2025-12-24 02:20:00,152 Mb/s
2025-12-24 02:30:00,95.5 Mb/s
2025-12-24 02:40:00,71.5 Mb/s
2025-12-24 02:50:00,65.9 Mb/s
2025-12-24 03:00:00,74.5 Mb/s
2025-12-24 03:10:00,64.3 Mb/s
2025-12-24 03:20:00,64.8 Mb/s
2025-12-24 03:30:00,69.8 Mb/s
2025-12-24 03:40:00,71.9 Mb/s
2025-12-24 03:50:00,125 Mb/s
2025-12-24 04:00:00,139 Mb/s
2025-12-24 04:10:00,109 Mb/s
2025-12-24 04:20:00,70.9 Mb/s
2025-12-24 04:30:00,69.7 Mb/s
2025-12-24 04:40:00,69.1 Mb/s
2025-12-24 04:50:00,65.3 Mb/s
2025-12-24 05:00:00,98.7 Mb/s
2025-12-24 05:10:00,128 Mb/s
2025-12-24 05:20:00,136 Mb/s
2025-12-24 05:30:00,88.7 Mb/s
2025-12-24 05:40:00,69.4 Mb/s
2025-12-24 05:50:00,74.4 Mb/s
2025-12-24 06:00:00,130 Mb/s
2025-12-24 06:10:00,137 Mb/s
2025-12-24 06:20:00,135 Mb/s
2025-12-24 06:30:00,68.5 Mb/s
2025-12-24 06:40:00,74.1 Mb/s
2025-12-24 06:50:00,111 Mb/s
2025-12-24 07:00:00,131 Mb/s
2025-12-24 07:10:00,116 Mb/s
2025-12-24 07:20:00,123 Mb/s
2025-12-24 07:30:00,70.0 Mb/s
2025-12-24 07:40:00,101 Mb/s
2025-12-24 07:50:00,122 Mb/s
2025-12-24 08:00:00,117 Mb/s
2025-12-24 08:10:00,118 Mb/s
2025-12-24 08:20:00,94.9 Mb/s
2025-12-24 08:30:00,115 Mb/s
2025-12-24 08:40:00,117 Mb/s
2025-12-24 08:50:00,116 Mb/s
2025-12-24 09:00:00,115 Mb/s
2025-12-24 09:10:00,72.4 Mb/s
2025-12-24 09:20:00,105 Mb/s
2025-12-24 09:30:00,105 Mb/s
2025-12-24 09:40:00,103 Mb/s
2025-12-24 09:50:00,109 Mb/s
2025-12-24 10:00:00,86.3 Mb/s
2025-12-24 10:10:00,123 Mb/s
2025-12-24 10:20:00,128 Mb/s
2025-12-24 10:30:00,126 Mb/s
2025-12-24 10:40:00,123 Mb/s
2025-12-24 10:50:00,125 Mb/s
2025-12-24 11:00:00,128 Mb/s
2025-12-24 11:10:00,123 Mb/s
2025-12-24 11:20:00,104 Mb/s
2025-12-24 11:30:00,62.3 Mb/s
2025-12-24 11:40:00,60.2 Mb/s
2025-12-24 11:50:00,56.1 Mb/s
2025-12-24 12:00:00,141 Mb/s
2025-12-24 12:10:00,315 Mb/s
2025-12-24 12:20:00,56.7 Mb/s
2025-12-24 12:30:00,55.5 Mb/s
2025-12-24 12:40:00,57.5 Mb/s
2025-12-24 12:50:00,60.7 Mb/s
2025-12-24 13:00:00,59.6 Mb/s
2025-12-24 13:10:00,60.2 Mb/s
2025-12-24 13:20:00,58.8 Mb/s
