"Time","gateway1","scheduler","worker2","worker3","worker5"
2025-12-24 00:00:00,4.76 kb/s,12.1 kb/s,199 Mb/s,4.11 Mb/s,14.4 Mb/s
2025-12-24 00:10:00,5.51 kb/s,11.4 kb/s,359 Mb/s,16.4 Mb/s,31.8 Mb/s
2025-12-24 00:20:00,2.43 kb/s,11.7 kb/s,324 Mb/s,19.8 Mb/s,38.8 Mb/s
2025-12-24 00:30:00,2.44 kb/s,11.8 kb/s,321 Mb/s,19.1 Mb/s,38.5 Mb/s
2025-12-24 00:40:00,2.45 kb/s,11.7 kb/s,344 Mb/s,21.2 Mb/s,37.9 Mb/s
2025-12-24 00:50:00,2.47 kb/s,11.5 kb/s,398 Mb/s,22.6 Mb/s,40.1 Mb/s
2025-12-24 01:00:00,2.44 kb/s,11.8 kb/s,314 Mb/s,21.2 Mb/s,38.7 Mb/s
2025-12-24 01:10:00,2.46 kb/s,11.7 kb/s,338 Mb/s,19.8 Mb/s,39.5 Mb/s
2025-12-24 01:20:00,2.46 kb/s,11.8 kb/s,330 Mb/s,21.2 Mb/s,39.7 Mb/s
2025-12-24 01:30:00,2.47 kb/s,11.9 kb/s,304 Mb/s,17.3 Mb/s,37.5 Mb/s
2025-12-24 01:40:00,2.46 kb/s,11.8 kb/s,356 Mb/s,23.8 Mb/s,39.6 Mb/s
2025-12-24 01:50:00,2.39 kb/s,11.7 kb/s,366 Mb/s,22.6 Mb/s,40.0 Mb/s
2025-12-24 02:00:00,2.44 kb/s,11.8 kb/s,344 Mb/s,19.1 Mb/s,39.5 Mb/s
2025-12-24 02:10:00,2.45 kb/s,11.7 kb/s,341 Mb/s,23.9 Mb/s,39.7 Mb/s
2025-12-24 02:20:00,2.58 kb/s,16.7 kb/s,49.0 Mb/s,69.7 Mb/s,33.7 Mb/s
2025-12-24 02:30:00,2.46 kb/s,14.3 kb/s,20.5 Mb/s,39.0 Mb/s,36.0 Mb/s
2025-12-24 02:40:00,2.40 kb/s,12.8 kb/s,10.9 Mb/s,21.2 Mb/s,39.4 Mb/s
2025-12-24 02:50:00,2.39 kb/s,12.7 kb/s,9.58 Mb/s,18.5 Mb/s,37.9 Mb/s
2025-12-24 03:00:00,2.40 kb/s,12.8 kb/s,12.3 Mb/s,22.6 Mb/s,39.6 Mb/s
2025-12-24 03:10:00,2.44 kb/s,12.7 kb/s,9.58 Mb/s,19.1 Mb/s,35.5 Mb/s
2025-12-24 03:20:00,2.41 kb/s,12.6 kb/s,10.3 Mb/s,19.1 Mb/s,35.4 Mb/s
2025-12-24 03:30:00,2.44 kb/s,12.6 kb/s,10.3 Mb/s,21.2 Mb/s,38.3 Mb/s
2025-12-24 03:40:00,2.49 kb/s,12.7 kb/s,10.9 Mb/s,20.5 Mb/s,40.5 Mb/s
2025-12-24 03:50:00,2.55 kb/s,15.7 kb/s,28.0 Mb/s,61.6 Mb/s,35.0 Mb/s
2025-12-24 04:00:00,2.52 kb/s,16.4 kb/s,35.6 Mb/s,68.4 Mb/s,34.9 Mb/s
2025-12-24 04:10:00,2.50 kb/s,14.8 kb/s,24.6 Mb/s,48.5 Mb/s,35.7 Mb/s
2025-12-24 04:20:00,2.41 kb/s,12.7 kb/s,11.6 Mb/s,19.8 Mb/s,39.5 Mb/s
2025-12-24 04:30:00,2.46 kb/s,12.5 kb/s,9.58 Mb/s,21.9 Mb/s,38.2 Mb/s
2025-12-24 04:40:00,2.42 kb/s,12.7 kb/s,10.9 Mb/s,19.1 Mb/s,39.0 Mb/s
2025-12-24 04:50:00,2.40 kb/s,12.6 kb/s,8.90 Mb/s,19.1 Mb/s,37.2 Mb/s
2025-12-24 05:00:00,2.52 kb/s,14.8 kb/s,23.9 Mb/s,49.9 Mb/s,24.9 Mb/s
2025-12-24 05:10:00,2.55 kb/s,16.0 kb/s,32.1 Mb/s,64.2 Mb/s,32.1 Mb/s
2025-12-24 05:20:00,2.57 kb/s,16.3 kb/s,34.2 Mb/s,67.5 Mb/s,34.2 Mb/s
2025-12-24 05:30:00,2.47 kb/s,13.7 kb/s,18.5 Mb/s,32.4 Mb/s,37.9 Mb/s
2025-12-24 05:40:00,2.41 kb/s,12.5 kb/s,9.58 Mb/s,21.2 Mb/s,38.6 Mb/s
2025-12-24 05:50:00,2.41 kb/s,12.8 kb/s,11.6 Mb/s,24.6 Mb/s,38.1 Mb/s
2025-12-24 06:00:00,2.50 kb/s,16.3 kb/s,32.1 Mb/s,64.9 Mb/s,32.8 Mb/s
2025-12-24 06:10:00,2.56 kb/s,16.3 kb/s,34.2 Mb/s,69.1 Mb/s,34.2 Mb/s
2025-12-24 06:20:00,2.61 kb/s,16.1 kb/s,34.2 Mb/s,67.0 Mb/s,33.5 Mb/s
2025-12-24 06:30:00,2.44 kb/s,12.8 kb/s,11.6 Mb/s,19.8 Mb/s,37.1 Mb/s
2025-12-24 06:40:00,2.42 kb/s,12.7 kb/s,10.9 Mb/s,23.3 Mb/s,39.9 Mb/s
2025-12-24 06:50:00,2.47 kb/s,14.9 kb/s,24.6 Mb/s,51.9 Mb/s,34.2 Mb/s
2025-12-24 07:00:00,2.54 kb/s,16.2 kb/s,32.8 Mb/s,65.6 Mb/s,32.8 Mb/s
2025-12-24 07:10:00,2.58 kb/s,15.6 kb/s,29.4 Mb/s,57.4 Mb/s,29.4 Mb/s
2025-12-24 07:20:00,2.55 kb/s,15.6 kb/s,31.5 Mb/s,60.2 Mb/s,31.5 Mb/s
2025-12-24 07:30:00,2.40 kb/s,12.7 kb/s,10.3 Mb/s,21.2 Mb/s,38.5 Mb/s
2025-12-24 07:40:00,2.56 kb/s,14.8 kb/s,22.6 Mb/s,46.5 Mb/s,32.4 Mb/s
2025-12-24 07:50:00,2.51 kb/s,15.7 kb/s,31.3 Mb/s,60.8 Mb/s,29.4 Mb/s
2025-12-24 08:00:00,2.54 kb/s,15.5 kb/s,28.9 Mb/s,58.9 Mb/s,29.4 Mb/s
2025-12-24 08:10:00,2.54 kb/s,15.7 kb/s,30.1 Mb/s,58.7 Mb/s,29.4 Mb/s
2025-12-24 08:20:00,2.51 kb/s,13.6 kb/s,19.1 Mb/s,38.3 Mb/s,37.5 Mb/s
2025-12-24 08:30:00,2.56 kb/s,15.4 kb/s,28.7 Mb/s,57.4 Mb/s,28.7 Mb/s
2025-12-24 08:40:00,2.63 kb/s,15.5 kb/s,29.4 Mb/s,58.8 Mb/s,28.7 Mb/s
2025-12-24 08:50:00,2.56 kb/s,15.2 kb/s,29.0 Mb/s,58.8 Mb/s,28.7 Mb/s
