"Time","sum:resnet_50_145ac6a/gateway1","sum:resnet_50_145ac6a/scheduler","sum:resnet_50_145ac6a/worker2","sum:resnet_50_145ac6a/worker3","sum:resnet_50_145ac6a/worker5"
2025-12-24 00:00:00,1.89 MB,410 kB,159 GB,4.46 GB,1.10 GB
2025-12-24 00:10:00,2.31 MB,537 kB,186 GB,5.70 GB,3.49 GB
2025-12-24 00:20:00,2.49 MB,1.41 MB,210 GB,7.18 GB,6.41 GB
2025-12-24 00:30:00,2.67 MB,2.30 MB,234 GB,8.62 GB,9.29 GB
2025-12-24 00:40:00,2.85 MB,3.17 MB,260 GB,10.2 GB,12.1 GB
2025-12-24 00:50:00,3.04 MB,4.04 MB,290 GB,11.9 GB,15.1 GB
2025-12-24 01:00:00,3.22 MB,4.92 MB,313 GB,13.5 GB,18.1 GB
2025-12-24 01:10:00,3.41 MB,5.80 MB,339 GB,15.0 GB,21.0 GB
2025-12-24 01:20:00,3.59 MB,6.68 MB,363 GB,16.6 GB,24.0 GB
2025-12-24 01:30:00,3.78 MB,7.57 MB,386 GB,17.9 GB,26.8 GB
2025-12-24 01:40:00,3.96 MB,8.46 MB,413 GB,19.6 GB,29.8 GB
2025-12-24 01:50:00,4.14 MB,9.34 MB,440 GB,21.3 GB,32.8 GB
2025-12-24 02:00:00,4.32 MB,10.2 MB,466 GB,22.8 GB,35.7 GB
2025-12-24 02:10:00,4.51 MB,11.1 MB,492 GB,24.6 GB,38.7 GB
2025-12-24 02:20:00,4.70 MB,12.4 MB,495 GB,29.8 GB,41.2 GB
2025-12-24 02:30:00,4.89 MB,13.4 MB,497 GB,32.7 GB,43.9 GB
2025-12-24 02:40:00,5.07 MB,14.4 MB,498 GB,34.3 GB,46.9 GB
2025-12-24 02:50:00,5.24 MB,15.3 MB,498 GB,35.7 GB,49.7 GB
2025-12-24 03:00:00,5.42 MB,16.3 MB,499 GB,37.4 GB,52.7 GB
2025-12-24 03:10:00,5.61 MB,17.3 MB,500 GB,38.8 GB,55.4 GB
2025-12-24 03:20:00,5.79 MB,18.2 MB,501 GB,40.3 GB,58.0 GB
2025-12-24 03:30:00,5.97 MB,19.1 MB,502 GB,41.9 GB,60.9 GB
2025-12-24 03:40:00,6.16 MB,20.1 MB,502 GB,43.4 GB,63.9 GB
2025-12-24 03:50:00,6.35 MB,21.3 MB,505 GB,48.0 GB,66.6 GB
2025-12-24 04:00:00,6.54 MB,22.5 MB,507 GB,53.1 GB,69.2 GB
2025-12-24 04:10:00,6.72 MB,23.6 MB,509 GB,56.8 GB,71.9 GB
2025-12-24 04:20:00,6.91 MB,24.6 MB,510 GB,58.3 GB,74.8 GB
2025-12-24 04:30:00,7.09 MB,25.5 MB,511 GB,59.9 GB,77.7 GB
2025-12-24 04:40:00,7.27 MB,26.5 MB,511 GB,61.3 GB,80.6 GB
2025-12-24 04:50:00,7.45 MB,27.4 MB,512 GB,62.8 GB,83.4 GB
2025-12-24 05:00:00,7.64 MB,28.5 MB,514 GB,66.5 GB,85.3 GB
2025-12-24 05:10:00,7.83 MB,29.7 MB,516 GB,71.3 GB,87.7 GB
2025-12-24 05:20:00,8.02 MB,30.9 MB,519 GB,76.4 GB,90.2 GB
2025-12-24 05:30:00,8.21 MB,32.0 MB,520 GB,78.8 GB,93.1 GB
2025-12-24 05:40:00,8.39 MB,32.9 MB,521 GB,80.4 GB,96.0 GB
2025-12-24 05:50:00,8.57 MB,33.9 MB,522 GB,82.3 GB,98.8 GB
2025-12-24 06:00:00,8.76 MB,35.1 MB,524 GB,87.1 GB,101 GB
2025-12-24 06:10:00,8.95 MB,36.3 MB,527 GB,92.3 GB,104 GB
2025-12-24 06:20:00,9.15 MB,37.5 MB,529 GB,97.3 GB,106 GB
2025-12-24 06:30:00,9.33 MB,38.5 MB,530 GB,98.8 GB,109 GB
2025-12-24 06:40:00,9.51 MB,39.4 MB,531 GB,101 GB,112 GB
2025-12-24 06:50:00,9.70 MB,40.5 MB,533 GB,104 GB,115 GB
2025-12-24 07:00:00,9.89 MB,41.8 MB,535 GB,109 GB,117 GB
2025-12-24 07:10:00,10.1 MB,42.9 MB,538 GB,114 GB,119 GB
2025-12-24 07:20:00,10.3 MB,44.1 MB,540 GB,118 GB,122 GB
2025-12-24 07:30:00,10.5 MB,45.1 MB,541 GB,120 GB,125 GB
2025-12-24 07:40:00,10.6 MB,46.2 MB,542 GB,123 GB,127 GB
2025-12-24 07:50:00,10.8 MB,47.3 MB,545 GB,128 GB,129 GB
2025-12-24 08:00:00,11.0 MB,48.5 MB,547 GB,132 GB,131 GB
2025-12-24 08:10:00,11.2 MB,49.7 MB,549 GB,137 GB,134 GB
2025-12-24 08:20:00,11.4 MB,50.7 MB,551 GB,140 GB,136 GB
2025-12-24 08:30:00,11.6 MB,51.8 MB,553 GB,144 GB,139 GB
2025-12-24 08:40:00,11.8 MB,53.0 MB,555 GB,148 GB,141 GB
2025-12-24 08:50:00,12.0 MB,54.2 MB,557 GB,153 GB,143 GB
2025-12-24 09:00:00,12.2 MB,55.3 MB,559 GB,157 GB,145 GB
2025-12-24 09:10:00,12.4 MB,56.3 MB,560 GB,159 GB,148 GB
2025-12-24 09:20:00,12.6 MB,57.4 MB,562 GB,163 GB,150 GB
2025-12-24 09:30:00,12.7 MB,58.5 MB,564 GB,167 GB,152 GB
2025-12-24 09:40:00,12.9 MB,59.6 MB,566 GB,171 GB,154 GB
2025-12-24 09:50:00,13.1 MB,60.8 MB,568 GB,175 GB,156 GB
2025-12-24 10:00:00,13.3 MB,61.8 MB,570 GB,177 GB,158 GB
2025-12-24 10:10:00,13.5 MB,63.0 MB,572 GB,182 GB,160 GB
2025-12-24 10:20:00,13.7 MB,64.2 MB,574 GB,187 GB,163 GB
