"Time","in:resnet_50_145ac6a","out:resnet_50_145ac6a","sum:resnet_50_145ac6a"
2025-12-24 00:00:00,159 GB,5.70 GB,164 GB
2025-12-24 00:10:00,188 GB,6.88 GB,195 GB
2025-12-24 00:20:00,215 GB,8.36 GB,224 GB
2025-12-24 00:30:00,242 GB,9.80 GB,252 GB
2025-12-24 00:40:00,271 GB,11.4 GB,282 GB
2025-12-24 00:50:00,304 GB,13.1 GB,317 GB
2025-12-24 01:00:00,330 GB,14.7 GB,345 GB
2025-12-24 01:10:00,358 GB,16.2 GB,375 GB
2025-12-24 01:20:00,386 GB,17.8 GB,404 GB
2025-12-24 01:30:00,412 GB,19.1 GB,431 GB
2025-12-24 01:40:00,441 GB,20.8 GB,462 GB
2025-12-24 01:50:00,472 GB,22.5 GB,494 GB
2025-12-24 02:00:00,501 GB,24.0 GB,525 GB
2025-12-24 02:10:00,529 GB,25.7 GB,555 GB
2025-12-24 02:20:00,536 GB,30.9 GB,566 GB
2025-12-24 02:30:00,540 GB,33.9 GB,574 GB
2025-12-24 02:40:00,543 GB,35.5 GB,579 GB
2025-12-24 02:50:00,547 GB,36.9 GB,584 GB
2025-12-24 03:00:00,551 GB,38.6 GB,589 GB
2025-12-24 03:10:00,554 GB,40.0 GB,594 GB
2025-12-24 03:20:00,558 GB,41.4 GB,599 GB
2025-12-24 03:30:00,561 GB,43.0 GB,604 GB
2025-12-24 03:40:00,565 GB,44.6 GB,610 GB
2025-12-24 03:50:00,570 GB,49.0 GB,619 GB
2025-12-24 04:00:00,575 GB,54.3 GB,630 GB
2025-12-24 04:10:00,580 GB,57.9 GB,638 GB
2025-12-24 04:20:00,584 GB,59.5 GB,643 GB
2025-12-24 04:30:00,587 GB,61.1 GB,648 GB
2025-12-24 04:40:00,591 GB,62.6 GB,653 GB
2025-12-24 04:50:00,594 GB,64.0 GB,658 GB
2025-12-24 05:00:00,598 GB,67.6 GB,666 GB
2025-12-24 05:10:00,603 GB,72.4 GB,675 GB
2025-12-24 05:20:00,608 GB,77.5 GB,686 GB
2025-12-24 05:30:00,612 GB,80.1 GB,692 GB
2025-12-24 05:40:00,616 GB,81.6 GB,697 GB
2025-12-24 05:50:00,620 GB,83.4 GB,703 GB
2025-12-24 06:00:00,625 GB,88.2 GB,713 GB
2025-12-24 06:10:00,630 GB,93.4 GB,723 GB
