"Time","Value"
2025-12-24 02:30:00,16
2025-12-24 02:40:00,41
2025-12-24 02:50:00,59
2025-12-24 03:00:00,87
2025-12-24 03:10:00,106
2025-12-24 03:20:00,121
2025-12-24 03:30:00,131
2025-12-24 03:40:00,123
2025-12-24 03:50:00,106
2025-12-24 04:00:00,78
2025-12-24 04:10:00,79
2025-12-24 04:20:00,88
2025-12-24 04:30:00,86
2025-12-24 04:40:00,82
2025-12-24 04:50:00,101
2025-12-24 05:00:00,101
2025-12-24 05:10:00,81
2025-12-24 05:20:00,57
2025-12-24 05:30:00,42
2025-12-24 05:40:00,60
2025-12-24 05:50:00,58
2025-12-24 06:00:00,58
2025-12-24 06:10:00,58
2025-12-24 06:20:00,58
2025-12-24 06:30:00,68
2025-12-24 06:40:00,60
2025-12-24 06:50:00,47
2025-12-24 07:00:00,47
2025-12-24 07:10:00,47
2025-12-24 07:20:00,51
2025-12-24 07:30:00,55
2025-12-24 07:40:00,33
2025-12-24 07:50:00,28
2025-12-24 08:00:00,28
2025-12-24 08:10:00,28
2025-12-24 08:20:00,36
2025-12-24 08:30:00,13
2025-12-24 08:40:00,12
2025-12-24 08:50:00,12
2025-12-24 09:00:00,16
2025-12-24 09:10:00,31
2025-12-24 09:20:00,19
2025-12-24 09:30:00,19
2025-12-24 09:40:00,19
2025-12-24 09:50:00,19
2025-12-24 10:00:00,29
2025-12-24 10:10:00,14
2025-12-24 10:20:00,14
2025-12-24 10:30:00,14
2025-12-24 10:40:00,15
2025-12-24 10:50:00,15
2025-12-24 11:00:00,1
2025-12-24 11:10:00,1
2025-12-24 11:20:00,1
2025-12-24 11:30:00,34
2025-12-24 11:40:00,33
2025-12-24 11:50:00,33
2025-12-24 12:00:00,118
2025-12-24 12:10:00,734
2025-12-24 12:20:00,734
2025-12-24 12:30:00,701
2025-12-24 12:40:00,701
2025-12-24 12:50:00,701
2025-12-24 13:00:00,616
2025-12-26 15:00:00,23
2025-12-26 15:10:00,72
2025-12-26 15:20:00,157
2025-12-26 15:30:00,212
2025-12-26 15:40:00,258
2025-12-26 15:50:00,326
2025-12-26 16:00:00,361
2025-12-26 16:10:00,312
2025-12-26 16:20:00,258
2025-12-26 16:30:00,273
2025-12-26 16:40:00,295
2025-12-26 16:50:00,269
2025-12-26 17:00:00,211
2025-12-26 17:10:00,211
2025-12-26 17:20:00,222
2025-12-26 17:30:00,207
2025-12-26 17:40:00,169
2025-12-26 17:50:00,127
2025-12-26 18:00:00,127
2025-12-26 18:10:00,134
2025-12-26 18:20:00,146
2025-12-26 18:30:00,102
2025-12-26 18:40:00,72
2025-12-26 18:50:00,72
2025-12-26 19:00:00,89
2025-12-26 19:10:00,137
2025-12-26 19:20:00,83
2025-12-26 19:30:00,72
2025-12-26 19:40:00,72
2025-12-26 19:50:00,103
2025-12-26 20:00:00,86
2025-12-26 20:10:00,31
2025-12-26 20:20:00,31
2025-12-26 20:30:00,46
2025-12-26 20:40:00,46
2025-12-26 20:50:00,15
2025-12-26 21:00:00,15
2025-12-26 21:10:00,32
2025-12-26 21:20:00,39
2025-12-26 21:30:00,24
2025-12-26 21:40:00,24
2025-12-26 21:50:00,24
2025-12-26 22:00:00,30
2025-12-26 22:10:00,13
2025-12-26 22:20:00,6
2025-12-26 22:30:00,6
2025-12-26 22:40:00,17
2025-12-26 22:50:00,17
2025-12-26 23:00:00,11
2025-12-26 23:10:00,11
2025-12-26 23:20:00,14
2025-12-26 23:30:00,14
2025-12-26 23:40:00,3
2025-12-26 23:50:00,3
2025-12-27 00:00:00,3
2025-12-27 00:10:00,4
2025-12-27 00:20:00,1
2025-12-27 00:30:00,1
2025-12-27 00:40:00,1
2025-12-27 00:50:00,7
2025-12-27 01:00:00,7
2025-12-27 01:10:00,6
2025-12-27 01:20:00,6
2025-12-27 01:30:00,7
2025-12-27 01:40:00,7
2025-12-27 01:50:00,1
2025-12-27 02:00:00,1
2025-12-27 02:10:00,4
2025-12-27 02:20:00,4
2025-12-27 02:30:00,3
2025-12-27 02:40:00,3
2025-12-27 02:50:00,3
2025-12-27 03:00:00,12
2025-12-27 03:10:00,9
2025-12-27 03:20:00,9
2025-12-27 03:30:00,9
2025-12-27 03:40:00,14
2025-12-27 03:50:00,14
2025-12-27 04:00:00,5
2025-12-27 04:10:00,5
2025-12-27 04:20:00,34
2025-12-27 04:30:00,34
2025-12-27 04:40:00,29
2025-12-27 04:50:00,29
2025-12-27 05:00:00,34
2025-12-27 05:10:00,34
2025-12-27 05:20:00,5
2025-12-27 05:30:00,5
2025-12-27 05:40:00,16
2025-12-27 05:50:00,16
2025-12-27 06:00:00,11
2025-12-27 06:10:00,11
2025-12-27 06:20:00,11
2025-12-27 06:30:00,17
2025-12-27 06:40:00,6
2025-12-27 06:50:00,6
2025-12-27 07:00:00,6
2025-12-27 07:10:00,25
2025-12-27 07:20:00,25
2025-12-27 07:30:00,19
2025-12-27 07:40:00,19
2025-12-27 07:50:00,57
2025-12-27 08:00:00,57
2025-12-27 08:10:00,38
2025-12-27 08:20:00,38
2025-12-27 08:30:00,41
2025-12-27 08:40:00,41
2025-12-27 08:50:00,3
2025-12-27 09:00:00,3
2025-12-27 09:10:00,9
2025-12-27 09:20:00,9
2025-12-27 09:30:00,6
2025-12-27 09:40:00,6
2025-12-27 09:50:00,18
2025-12-27 10:00:00,18
2025-12-27 10:10:00,12
2025-12-27 10:20:00,12
2025-12-27 10:30:00,20
2025-12-27 10:40:00,20
2025-12-27 10:50:00,8
2025-12-27 11:00:00,8
2025-12-27 11:10:00,8
2025-12-27 11:20:00,8
2025-12-27 11:50:00,1
2025-12-27 12:00:00,1
2025-12-27 12:10:00,1
2025-12-27 12:20:00,1
2025-12-27 12:30:00,23
2025-12-27 12:40:00,23
2025-12-27 12:50:00,22
2025-12-27 13:00:00,22
2025-12-27 13:10:00,46
2025-12-27 13:20:00,46
2025-12-27 13:30:00,24
2025-12-27 13:40:00,24
2025-12-27 13:50:00,30
2025-12-27 14:00:00,30
2025-12-27 14:10:00,6
2025-12-27 14:20:00,6
2025-12-27 14:30:00,8
2025-12-27 14:40:00,8
2025-12-27 14:50:00,2
2025-12-27 15:00:00,20
2025-12-27 15:10:00,20
2025-12-27 15:20:00,20
2025-12-27 15:30:00,18
2025-12-27 15:40:00,38
2025-12-27 15:50:00,39
2025-12-27 16:00:00,21
2025-12-27 16:10:00,21
2025-12-27 16:20:00,21
2025-12-27 16:30:00,21
2025-12-27 16:40:00,1
2025-12-27 17:00:00,5
2025-12-27 17:10:00,21
2025-12-27 17:20:00,21
2025-12-27 17:30:00,21
2025-12-27 17:40:00,21
2025-12-27 17:50:00,45
2025-12-27 18:00:00,40
2025-12-27 18:10:00,24
2025-12-27 18:20:00,34
2025-12-27 18:30:00,34
2025-12-27 18:40:00,34
2025-12-27 18:50:00,10
2025-12-27 19:00:00,26
2025-12-27 19:10:00,26
2025-12-27 19:20:00,16
2025-12-27 19:30:00,16
2025-12-27 19:40:00,31
2025-12-27 19:50:00,31
2025-12-27 20:00:00,15
2025-12-27 20:10:00,15
2025-12-27 20:20:00,22
2025-12-27 20:30:00,39
2025-12-27 20:40:00,24
2025-12-27 20:50:00,24
2025-12-27 21:00:00,24
2025-12-27 21:10:00,24
2025-12-27 21:20:00,17
2025-12-27 21:50:00,33
2025-12-27 22:00:00,33
2025-12-27 22:10:00,33
2025-12-27 22:20:00,33
2025-12-27 22:30:00,61
2025-12-27 22:40:00,61
2025-12-27 22:50:00,28
2025-12-27 23:00:00,28
2025-12-27 23:10:00,28
