"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
)  * 8 "
2026-01-11 00:12:00,222 Mb/s
2026-01-11 00:13:00,256 Mb/s
2026-01-11 00:14:00,276 Mb/s
2026-01-11 00:15:00,335 Mb/s
2026-01-11 00:16:00,404 Mb/s
2026-01-11 00:17:00,394 Mb/s
2026-01-11 00:18:00,387 Mb/s
2026-01-11 00:19:00,302 Mb/s
2026-01-11 00:20:00,310 Mb/s
2026-01-11 00:21:00,255 Mb/s
2026-01-11 00:22:00,376 Mb/s
2026-01-11 00:23:00,331 Mb/s
2026-01-11 00:24:00,409 Mb/s
2026-01-11 00:25:00,376 Mb/s
2026-01-11 00:26:00,502 Mb/s
2026-01-11 00:27:00,490 Mb/s
2026-01-11 00:28:00,492 Mb/s
2026-01-11 00:29:00,421 Mb/s
2026-01-11 00:30:00,380 Mb/s
2026-01-11 00:31:00,339 Mb/s
2026-01-11 00:32:00,356 Mb/s
2026-01-11 00:33:00,359 Mb/s
2026-01-11 00:34:00,344 Mb/s
2026-01-11 00:35:00,331 Mb/s
2026-01-11 00:36:00,354 Mb/s
2026-01-11 00:37:00,386 Mb/s
2026-01-11 00:38:00,367 Mb/s
2026-01-11 00:39:00,417 Mb/s
2026-01-11 00:40:00,479 Mb/s
2026-01-11 00:41:00,520 Mb/s
2026-01-11 00:42:00,461 Mb/s
2026-01-11 00:43:00,353 Mb/s
2026-01-11 00:44:00,300 Mb/s
2026-01-11 00:45:00,253 Mb/s
2026-01-11 00:46:00,245 Mb/s
2026-01-11 00:47:00,214 Mb/s
2026-01-11 00:48:00,206 Mb/s
2026-01-11 00:49:00,243 Mb/s
2026-01-11 00:50:00,246 Mb/s
2026-01-11 00:51:00,254 Mb/s
2026-01-11 00:52:00,225 Mb/s
2026-01-11 00:53:00,234 Mb/s
2026-01-11 00:54:00,266 Mb/s
2026-01-11 00:55:00,319 Mb/s
2026-01-11 00:56:00,312 Mb/s
2026-01-11 00:57:00,318 Mb/s
2026-01-11 00:58:00,286 Mb/s
2026-01-11 00:59:00,278 Mb/s
2026-01-11 01:00:00,264 Mb/s
2026-01-11 01:01:00,306 Mb/s
2026-01-11 01:02:00,331 Mb/s
2026-01-11 01:03:00,346 Mb/s
2026-01-11 01:04:00,317 Mb/s
2026-01-11 01:05:00,314 Mb/s
2026-01-11 01:06:00,321 Mb/s
2026-01-11 01:07:00,355 Mb/s
2026-01-11 01:08:00,363 Mb/s
2026-01-11 01:09:00,353 Mb/s
2026-01-11 01:10:00,352 Mb/s
2026-01-11 01:11:00,296 Mb/s
2026-01-11 01:12:00,284 Mb/s
2026-01-11 01:13:00,253 Mb/s
2026-01-11 01:14:00,305 Mb/s
2026-01-11 01:15:00,292 Mb/s
2026-01-11 01:16:00,289 Mb/s
2026-01-11 01:17:00,277 Mb/s
2026-01-11 01:18:00,285 Mb/s
2026-01-11 01:19:00,295 Mb/s
2026-01-11 01:20:00,325 Mb/s
2026-01-11 01:21:00,333 Mb/s
2026-01-11 01:22:00,331 Mb/s
2026-01-11 01:23:00,305 Mb/s
2026-01-11 01:24:00,288 Mb/s
2026-01-11 01:25:00,270 Mb/s
2026-01-11 01:26:00,289 Mb/s
2026-01-11 01:27:00,296 Mb/s
2026-01-11 01:28:00,311 Mb/s
2026-01-11 01:29:00,280 Mb/s
2026-01-11 01:30:00,284 Mb/s
2026-01-11 01:31:00,294 Mb/s
2026-01-11 01:32:00,308 Mb/s
2026-01-11 01:33:00,306 Mb/s
2026-01-11 01:34:00,325 Mb/s
2026-01-11 01:35:00,309 Mb/s
2026-01-11 01:36:00,328 Mb/s
2026-01-11 01:37:00,319 Mb/s
2026-01-11 01:38:00,322 Mb/s
2026-01-11 01:39:00,320 Mb/s
2026-01-11 01:40:00,293 Mb/s
2026-01-11 01:41:00,283 Mb/s
2026-01-11 01:42:00,278 Mb/s
2026-01-11 01:43:00,269 Mb/s
2026-01-11 01:44:00,301 Mb/s
2026-01-11 01:45:00,295 Mb/s
2026-01-11 01:46:00,296 Mb/s
2026-01-11 01:47:00,265 Mb/s
2026-01-11 01:48:00,271 Mb/s
2026-01-11 01:49:00,258 Mb/s
2026-01-11 01:50:00,282 Mb/s
2026-01-11 01:51:00,281 Mb/s
2026-01-11 01:52:00,314 Mb/s
2026-01-11 01:53:00,296 Mb/s
2026-01-11 01:54:00,268 Mb/s
2026-01-11 01:55:00,248 Mb/s
2026-01-11 01:56:00,265 Mb/s
2026-01-11 01:57:00,295 Mb/s
2026-01-11 01:58:00,310 Mb/s
2026-01-11 01:59:00,328 Mb/s
2026-01-11 02:00:00,338 Mb/s
2026-01-11 02:01:00,367 Mb/s
2026-01-11 02:02:00,348 Mb/s
2026-01-11 02:03:00,310 Mb/s
2026-01-11 02:04:00,285 Mb/s
2026-01-11 02:05:00,273 Mb/s
2026-01-11 02:06:00,298 Mb/s
2026-01-11 02:07:00,293 Mb/s
2026-01-11 02:08:00,325 Mb/s
2026-01-11 02:09:00,309 Mb/s
2026-01-11 02:10:00,337 Mb/s
2026-01-11 02:11:00,294 Mb/s
2026-01-11 02:12:00,308 Mb/s
2026-01-11 02:13:00,271 Mb/s
2026-01-11 02:14:00,288 Mb/s
2026-01-11 02:15:00,312 Mb/s
2026-01-11 02:16:00,359 Mb/s
2026-01-11 02:17:00,370 Mb/s
2026-01-11 02:18:00,317 Mb/s
2026-01-11 02:19:00,288 Mb/s
2026-01-11 02:20:00,270 Mb/s
2026-01-11 02:21:00,315 Mb/s
2026-01-11 02:22:00,324 Mb/s
2026-01-11 02:23:00,358 Mb/s
2026-01-11 02:24:00,345 Mb/s
2026-01-11 02:25:00,315 Mb/s
2026-01-11 02:26:00,311 Mb/s
2026-01-11 02:27:00,330 Mb/s
2026-01-11 02:28:00,377 Mb/s
2026-01-11 02:29:00,348 Mb/s
2026-01-11 02:30:00,322 Mb/s
2026-01-11 02:31:00,282 Mb/s
2026-01-11 02:32:00,301 Mb/s
2026-01-11 02:33:00,303 Mb/s
2026-01-11 02:34:00,335 Mb/s
2026-01-11 02:35:00,322 Mb/s
2026-01-11 02:36:00,332 Mb/s
2026-01-11 02:37:00,309 Mb/s
2026-01-11 02:38:00,291 Mb/s
2026-01-11 02:39:00,259 Mb/s
2026-01-11 02:40:00,259 Mb/s
2026-01-11 02:41:00,313 Mb/s
2026-01-11 02:42:00,332 Mb/s
2026-01-11 02:43:00,304 Mb/s
2026-01-11 02:44:00,251 Mb/s
2026-01-11 02:45:00,271 Mb/s
2026-01-11 02:46:00,278 Mb/s
2026-01-11 02:47:00,290 Mb/s
2026-01-11 02:48:00,274 Mb/s
2026-01-11 02:49:00,272 Mb/s
2026-01-11 02:50:00,273 Mb/s
2026-01-11 02:51:00,265 Mb/s
2026-01-11 02:52:00,269 Mb/s
2026-01-11 02:53:00,259 Mb/s
2026-01-11 02:54:00,271 Mb/s
2026-01-11 02:55:00,268 Mb/s
2026-01-11 02:56:00,302 Mb/s
2026-01-11 02:57:00,324 Mb/s
2026-01-11 02:58:00,382 Mb/s
2026-01-11 02:59:00,356 Mb/s
2026-01-11 03:00:00,349 Mb/s
2026-01-11 03:01:00,295 Mb/s
2026-01-11 03:02:00,301 Mb/s
2026-01-11 03:03:00,271 Mb/s
2026-01-11 03:04:00,300 Mb/s
2026-01-11 03:05:00,333 Mb/s
2026-01-11 03:06:00,348 Mb/s
2026-01-11 03:07:00,353 Mb/s
2026-01-11 03:08:00,318 Mb/s
2026-01-11 03:09:00,311 Mb/s
2026-01-11 03:10:00,316 Mb/s
2026-01-11 03:11:00,312 Mb/s
2026-01-11 03:12:00,333 Mb/s
2026-01-11 03:13:00,326 Mb/s
2026-01-11 03:14:00,347 Mb/s
2026-01-11 03:15:00,337 Mb/s
2026-01-11 03:16:00,342 Mb/s
2026-01-11 03:17:00,331 Mb/s
2026-01-11 03:18:00,292 Mb/s
2026-01-11 03:19:00,275 Mb/s
2026-01-11 03:20:00,265 Mb/s
2026-01-11 03:21:00,308 Mb/s
2026-01-11 03:22:00,308 Mb/s
2026-01-11 03:23:00,334 Mb/s
2026-01-11 03:24:00,340 Mb/s
2026-01-11 03:25:00,330 Mb/s
2026-01-11 03:26:00,321 Mb/s
2026-01-11 03:27:00,315 Mb/s
2026-01-11 03:28:00,353 Mb/s
2026-01-11 03:29:00,343 Mb/s
2026-01-11 03:30:00,298 Mb/s
2026-01-11 03:31:00,245 Mb/s
2026-01-11 03:32:00,246 Mb/s
2026-01-11 03:33:00,273 Mb/s
2026-01-11 03:34:00,300 Mb/s
2026-01-11 03:35:00,296 Mb/s
2026-01-11 03:36:00,303 Mb/s
2026-01-11 03:37:00,297 Mb/s
2026-01-11 03:38:00,308 Mb/s
2026-01-11 03:39:00,294 Mb/s
2026-01-11 03:40:00,281 Mb/s
2026-01-11 03:41:00,276 Mb/s
2026-01-11 03:42:00,270 Mb/s
2026-01-11 03:43:00,291 Mb/s
2026-01-11 03:44:00,291 Mb/s
2026-01-11 03:45:00,311 Mb/s
2026-01-11 03:46:00,297 Mb/s
2026-01-11 03:47:00,298 Mb/s
2026-01-11 03:48:00,295 Mb/s
2026-01-11 03:49:00,286 Mb/s
2026-01-11 03:50:00,279 Mb/s
2026-01-11 03:51:00,248 Mb/s
2026-01-11 03:52:00,262 Mb/s
2026-01-11 03:53:00,275 Mb/s
2026-01-11 03:54:00,301 Mb/s
2026-01-11 03:55:00,310 Mb/s
2026-01-11 03:56:00,287 Mb/s
2026-01-11 03:57:00,260 Mb/s
2026-01-11 03:58:00,256 Mb/s
2026-01-11 03:59:00,274 Mb/s
2026-01-11 04:00:00,301 Mb/s
2026-01-11 04:01:00,305 Mb/s
2026-01-11 04:02:00,300 Mb/s
2026-01-11 04:03:00,301 Mb/s
2026-01-11 04:04:00,261 Mb/s
2026-01-11 04:05:00,236 Mb/s
2026-01-11 04:06:00,215 Mb/s
2026-01-11 04:07:00,259 Mb/s
2026-01-11 04:08:00,288 Mb/s
2026-01-11 04:09:00,329 Mb/s
2026-01-11 04:10:00,323 Mb/s
2026-01-11 04:11:00,306 Mb/s
2026-01-11 04:12:00,269 Mb/s
2026-01-11 04:13:00,244 Mb/s
2026-01-11 04:14:00,258 Mb/s
2026-01-11 04:15:00,264 Mb/s
2026-01-11 04:16:00,280 Mb/s
2026-01-11 04:17:00,273 Mb/s
2026-01-11 04:18:00,270 Mb/s
2026-01-11 04:19:00,271 Mb/s
2026-01-11 04:20:00,281 Mb/s
2026-01-11 04:21:00,267 Mb/s
2026-01-11 04:22:00,244 Mb/s
2026-01-11 04:23:00,233 Mb/s
2026-01-11 04:24:00,257 Mb/s
2026-01-11 04:25:00,252 Mb/s
2026-01-11 04:26:00,238 Mb/s
2026-01-11 04:27:00,219 Mb/s
2026-01-11 04:28:00,270 Mb/s
2026-01-11 04:29:00,280 Mb/s
2026-01-11 04:30:00,273 Mb/s
2026-01-11 04:31:00,257 Mb/s
2026-01-11 04:32:00,257 Mb/s
