"Time","in:wav2vec2_4ba6b0ef","out:wav2vec2_4ba6b0ef","sum:wav2vec2_4ba6b0ef"
2026-01-11 00:08:00,738 kB,853 kB,1.59 MB
2026-01-11 00:09:00,794 MB,819 kB,795 MB
2026-01-11 00:10:00,1.72 GB,915 kB,1.72 GB
2026-01-11 00:11:00,3.41 GB,756 MB,4.16 GB
2026-01-11 00:12:00,4.63 GB,1.51 GB,6.14 GB
2026-01-11 00:13:00,5.52 GB,2.27 GB,7.79 GB
2026-01-11 00:14:00,7.36 GB,3.02 GB,10.4 GB
2026-01-11 00:15:00,9.86 GB,3.81 GB,13.7 GB
2026-01-11 00:16:00,11.8 GB,5.06 GB,16.9 GB
2026-01-11 00:17:00,13.6 GB,5.67 GB,19.2 GB
2026-01-11 00:18:00,15.6 GB,6.80 GB,22.4 GB
2026-01-11 00:19:00,16.9 GB,6.80 GB,23.7 GB
2026-01-11 00:20:00,18.7 GB,7.56 GB,26.2 GB
2026-01-11 00:21:00,19.8 GB,8.31 GB,28.1 GB
2026-01-11 00:22:00,22.6 GB,9.52 GB,32.1 GB
2026-01-11 00:23:00,23.8 GB,9.82 GB,33.7 GB
2026-01-11 00:24:00,26.3 GB,11.0 GB,37.3 GB
2026-01-11 00:25:00,28.5 GB,12.1 GB,40.6 GB
2026-01-11 00:26:00,31.6 GB,13.3 GB,44.9 GB
2026-01-11 00:27:00,34.0 GB,14.4 GB,48.3 GB
2026-01-11 00:28:00,36.6 GB,15.1 GB,51.7 GB
2026-01-11 00:29:00,38.0 GB,16.4 GB,54.4 GB
2026-01-11 00:30:00,39.1 GB,17.8 GB,56.9 GB
2026-01-11 00:31:00,40.4 GB,18.9 GB,59.3 GB
2026-01-11 00:32:00,42.0 GB,20.4 GB,62.4 GB
2026-01-11 00:33:00,43.3 GB,21.6 GB,64.9 GB
2026-01-11 00:34:00,44.4 GB,22.7 GB,67.1 GB
2026-01-11 00:35:00,45.7 GB,24.2 GB,69.9 GB
2026-01-11 00:36:00,47.2 GB,25.7 GB,72.9 GB
2026-01-11 00:37:00,48.6 GB,27.2 GB,75.8 GB
2026-01-11 00:38:00,49.7 GB,28.4 GB,78.1 GB
2026-01-11 00:39:00,52.4 GB,29.9 GB,82.3 GB
2026-01-11 00:40:00,55.2 GB,31.3 GB,86.5 GB
2026-01-11 00:41:00,57.0 GB,32.9 GB,89.8 GB
2026-01-11 00:42:00,58.7 GB,34.0 GB,92.7 GB
2026-01-11 00:43:00,59.6 GB,34.8 GB,94.5 GB
2026-01-11 00:44:00,60.4 GB,36.2 GB,96.6 GB
2026-01-11 00:45:00,61.4 GB,37.0 GB,98.4 GB
2026-01-11 00:46:00,62.2 GB,37.8 GB,100.0 GB
2026-01-11 00:47:00,62.9 GB,38.5 GB,101 GB
2026-01-11 00:48:00,63.7 GB,39.3 GB,103 GB
2026-01-11 00:49:00,65.0 GB,40.5 GB,105 GB
2026-01-11 00:50:00,65.9 GB,41.5 GB,107 GB
2026-01-11 00:51:00,66.6 GB,42.1 GB,109 GB
2026-01-11 00:52:00,67.5 GB,43.0 GB,110 GB
2026-01-11 00:53:00,68.6 GB,44.2 GB,113 GB
2026-01-11 00:54:00,69.8 GB,45.3 GB,115 GB
2026-01-11 00:55:00,71.0 GB,46.7 GB,118 GB
2026-01-11 00:56:00,72.1 GB,47.6 GB,120 GB
2026-01-11 00:57:00,73.4 GB,48.9 GB,122 GB
2026-01-11 00:58:00,74.3 GB,49.9 GB,124 GB
2026-01-11 00:59:00,75.4 GB,50.6 GB,126 GB
2026-01-11 01:00:00,76.4 GB,51.8 GB,128 GB
2026-01-11 01:01:00,77.8 GB,53.3 GB,131 GB
2026-01-11 01:02:00,79.0 GB,54.4 GB,133 GB
2026-01-11 01:03:00,80.2 GB,55.8 GB,136 GB
2026-01-11 01:04:00,81.5 GB,56.7 GB,138 GB
2026-01-11 01:05:00,82.5 GB,57.9 GB,140 GB
2026-01-11 01:06:00,84.0 GB,59.3 GB,143 GB
2026-01-11 01:07:00,85.3 GB,60.8 GB,146 GB
2026-01-11 01:08:00,86.7 GB,61.9 GB,149 GB
2026-01-11 01:09:00,88.0 GB,63.2 GB,151 GB
2026-01-11 01:10:00,89.3 GB,64.8 GB,154 GB
2026-01-11 01:11:00,90.0 GB,65.3 GB,155 GB
2026-01-11 01:12:00,91.1 GB,66.5 GB,158 GB
2026-01-11 01:13:00,92.4 GB,67.3 GB,160 GB
2026-01-11 01:14:00,93.5 GB,68.7 GB,162 GB
2026-01-11 01:15:00,94.6 GB,69.6 GB,164 GB
2026-01-11 01:16:00,95.5 GB,70.7 GB,166 GB
2026-01-11 01:17:00,96.7 GB,71.8 GB,168 GB
2026-01-11 01:18:00,97.7 GB,72.9 GB,171 GB
2026-01-11 01:19:00,98.8 GB,74.0 GB,173 GB
2026-01-11 01:20:00,100 GB,75.5 GB,176 GB
2026-01-11 01:21:00,101 GB,76.7 GB,178 GB
2026-01-11 01:22:00,103 GB,77.8 GB,180 GB
2026-01-11 01:23:00,104 GB,78.9 GB,183 GB
2026-01-11 01:24:00,105 GB,80.0 GB,185 GB
2026-01-11 01:25:00,106 GB,80.8 GB,186 GB
2026-01-11 01:26:00,107 GB,82.1 GB,189 GB
2026-01-11 01:27:00,108 GB,83.2 GB,191 GB
2026-01-11 01:28:00,109 GB,84.3 GB,193 GB
2026-01-11 01:29:00,110 GB,85.4 GB,195 GB
2026-01-11 01:30:00,111 GB,86.5 GB,198 GB
2026-01-11 01:31:00,112 GB,87.6 GB,200 GB
2026-01-11 01:32:00,114 GB,88.7 GB,202 GB
2026-01-11 01:33:00,115 GB,89.9 GB,205 GB
2026-01-11 01:34:00,116 GB,91.2 GB,207 GB
2026-01-11 01:35:00,117 GB,92.2 GB,209 GB
2026-01-11 01:36:00,118 GB,93.5 GB,212 GB
2026-01-11 01:37:00,120 GB,94.9 GB,215 GB
2026-01-11 01:38:00,121 GB,95.9 GB,217 GB
2026-01-11 01:39:00,122 GB,97.2 GB,219 GB
2026-01-11 01:40:00,123 GB,98.2 GB,221 GB
2026-01-11 01:41:00,124 GB,99.0 GB,223 GB
2026-01-11 01:42:00,125 GB,100 GB,225 GB
2026-01-11 01:43:00,126 GB,101 GB,227 GB
2026-01-11 01:44:00,127 GB,102 GB,230 GB
2026-01-11 01:45:00,129 GB,103 GB,232 GB
2026-01-11 01:46:00,130 GB,104 GB,234 GB
2026-01-11 01:47:00,131 GB,105 GB,236 GB
2026-01-11 01:48:00,132 GB,106 GB,238 GB
2026-01-11 01:49:00,132 GB,107 GB,240 GB
2026-01-11 01:50:00,134 GB,108 GB,242 GB
2026-01-11 01:51:00,135 GB,110 GB,244 GB
2026-01-11 01:52:00,136 GB,111 GB,247 GB
2026-01-11 01:53:00,137 GB,112 GB,249 GB
2026-01-11 01:54:00,138 GB,113 GB,250 GB
2026-01-11 01:55:00,139 GB,113 GB,252 GB
2026-01-11 01:56:00,140 GB,115 GB,255 GB
